iter	Logloss
0	0.6662082762
1	0.642351826
2	0.6204002135
3	0.603091891
4	0.58717302
5	0.5721503919
6	0.5595186102
7	0.5468980594
8	0.5361701601
9	0.5264867535
10	0.5175620164
11	0.5105492733
12	0.5038645962
13	0.4966546484
14	0.4902726307
15	0.4852915126
16	0.4806011868
17	0.4767393347
18	0.4724245591
19	0.4686319693
20	0.4649572665
21	0.4612980022
22	0.4584170468
23	0.455652239
24	0.4527541373
25	0.4497849456
26	0.4476061995
27	0.4453120956
28	0.4429671142
29	0.4408348651
30	0.4388266581
31	0.4367177945
32	0.4343270779
33	0.431981289
34	0.4306198532
35	0.4288098918
36	0.4272701
37	0.424745801
38	0.4232535482
39	0.4219305643
40	0.4206328181
41	0.4196023395
42	0.4183130225
43	0.4167338446
44	0.4149072689
45	0.4140695282
46	0.4132492995
47	0.4121279788
48	0.4110435659
49	0.4099372025
50	0.4089667962
51	0.4071480607
52	0.4062212911
53	0.4050974008
54	0.4043390043
55	0.4034707347
56	0.4024664673
57	0.4014913162
58	0.4005741192
59	0.3996998185
60	0.3986935999
61	0.397832687
62	0.3969491352
63	0.3961634785
64	0.3953891035
65	0.3948350081
66	0.3938627637
67	0.3932094749
68	0.3922368184
69	0.3909735313
70	0.3900934865
71	0.3889587418
72	0.3883182721
73	0.3874527412
74	0.3869558802
75	0.3860202436
76	0.3858936269
77	0.3852002332
78	0.3847708223
79	0.3843665322
80	0.3832935578
81	0.3826315645
82	0.3823288178
83	0.3818506067
84	0.3811885593
85	0.3806602487
86	0.3801095814
87	0.3793429138
88	0.3787804351
89	0.3783590426
90	0.3775877412
91	0.3772374882
92	0.3765731534
93	0.3756543276
94	0.3751052371
95	0.3745934017
96	0.3742329139
97	0.3739716232
98	0.3736794247
99	0.3732203676
100	0.3727332077
101	0.3721548654
102	0.3718160411
103	0.3713428578
104	0.3709740035
105	0.3705191259
106	0.3701565292
107	0.369666103
108	0.3689184481
109	0.3683768909
110	0.3679974558
111	0.367470897
112	0.3671656682
113	0.3668043807
114	0.3665121925
115	0.3659612315
116	0.3657209244
117	0.3654431646
118	0.3648944079
119	0.3644071405
120	0.3641389023
121	0.3637345911
122	0.3631513159
123	0.362648074
124	0.3622640047
125	0.3616158193
126	0.3612302106
127	0.3607723755
128	0.3604640565
129	0.3598555139
130	0.3594846463
131	0.359194341
132	0.3589078121
133	0.3583965732
134	0.3579779796
135	0.3574156189
136	0.3573064656
137	0.3569792608
138	0.3564342607
139	0.3561607305
140	0.3557701778
141	0.355345181
142	0.3551372482
143	0.3547003978
144	0.3541391655
145	0.3537149478
146	0.3535129714
147	0.3530614059
148	0.3525373335
149	0.3519923111
150	0.3516642441
151	0.3513171257
152	0.3510766272
153	0.3506932005
154	0.3501494624
155	0.3497513788
156	0.3491355539
157	0.3487687594
158	0.3482716712
159	0.347936473
160	0.3475124026
161	0.3472343073
162	0.3470842447
163	0.3468679532
164	0.3466127394
165	0.346556324
166	0.3462414782
167	0.3459999949
168	0.3456025059
169	0.3453754176
170	0.3448458118
171	0.3444064407
172	0.3440986931
173	0.3438103717
174	0.3436236931
175	0.343354956
176	0.3430823147
177	0.3427954099
178	0.3424495254
179	0.3421919603
180	0.3417453223
181	0.3413372469
182	0.341038724
183	0.3408356431
184	0.3405995457
185	0.3401252423
186	0.3398304321
187	0.3394569198
188	0.3390369981
189	0.3387060013
190	0.3384441151
191	0.3381739904
192	0.3378808204
193	0.337685602
194	0.337438343
195	0.3371683252
196	0.3369402533
197	0.3366087042
198	0.3361705142
199	0.3358419502
200	0.3356292465
201	0.3353575327
202	0.3351189388
203	0.3347500275
204	0.3344888226
205	0.3342609916
206	0.3340179693
207	0.3337388174
208	0.3334038915
209	0.3329916445
210	0.3327244613
211	0.3323541685
212	0.3319950222
213	0.3317240253
214	0.3313925523
215	0.3311282365
216	0.3308778133
217	0.3305966454
218	0.3303718319
219	0.3300633189
220	0.3296419543
221	0.3294701705
222	0.3290807067
223	0.3287642419
224	0.3285346683
225	0.3282085622
226	0.3278887365
227	0.3277212891
228	0.327460211
229	0.3270870631
230	0.3267761502
231	0.3265711786
232	0.3261281359
233	0.3257770313
234	0.32549314
235	0.3253337391
236	0.3250860506
237	0.324834087
238	0.3246054713
239	0.3243887463
240	0.3240683791
241	0.3238278005
242	0.3235836202
243	0.3233321992
244	0.3230417905
245	0.3226382106
246	0.3222386536
247	0.3219107546
248	0.3216217243
249	0.3213437378
250	0.3211116189
251	0.3207404312
252	0.3204941307
253	0.3202162433
254	0.3199937586
255	0.3197473652
256	0.3194521502
257	0.3190911621
258	0.3189257984
259	0.3185642322
260	0.3181229246
261	0.3177759086
262	0.3173952979
263	0.317202284
264	0.3167882398
265	0.3165671338
266	0.3162372321
267	0.3158851528
268	0.3155943914
269	0.3152778315
270	0.3150514815
271	0.3146679508
272	0.3144987682
273	0.3142027503
274	0.3138679735
275	0.3135726228
276	0.3133656831
277	0.3130939953
278	0.3128115822
279	0.3126420786
280	0.3122514127
281	0.3120404243
282	0.311841882
283	0.3115380292
284	0.3111385084
285	0.3108890451
286	0.3107071351
287	0.3104046159
288	0.3101632789
289	0.3098873303
290	0.3095164768
291	0.3091595131
292	0.3088966829
293	0.3085626828
294	0.3084338626
295	0.3081846916
296	0.3078331496
297	0.3075718222
298	0.3072938777
299	0.3069176689
